client_name,distance_to_water_body,enumerator_comment_box,expected_harvest_date,farmer_in_list_or_control,farmer_state_district,field_irrigated,insured_crop,intercropping,other_factors_that_affected_germination,planting_date,success_box1,success_box2,ward_lga_subcounty_camp,box1_crop_condition,box1_crop_stands_per_square_meter,box1_dim_8_by_5,box1_length,box1_mode_of_planting,box1_other_issues_occurrence_date,box1_other_problems,box1_problem,box1_secondary_issues,box1_width,box2_crop_condition,box2_crop_stands_per_square_meter,box2_dim_8_by_5,box2_length,box2_mode_of_planting,box2_other_issues_occurrence_date,box2_other_problems,box2_problem,box2_secondary_issues,box2_width,@case_id,timeEnd_box,timeStart_box,type_of_pests_or_diseases_current_crop_stage,what_steps_did_the_farmer_take_to_mitigate_the_pests_or_diseases,why_unable_to_place_box1,type_of_irrigation_system,box1_rows,measurement_box1_row1,measurement_box1_row2,measurement_box1_row3,box2_rows,measurement_box2_row1,measurement_box2_row2,measurement_box2_row3,box1_drought_occurence_date,box1_locust_infestation_date,box2_drought_occurence_date,box2_locust_infestation_date,box1_other_pest_disease_occurence_date,box1_pests_or_diseases_mitigation,box1_type_of_pests_or_diseases,box2_other_pest_disease_occurence_date,box2_pests_and_diseases_mitigation,box2_type_of_pests_or_diseases,how_is_the_other_crop_planted,other_crops_names,box1_animal_encroachment_date,box2_animal_encroachment_date,causes_of_weeds_box2,weeds_mitigation_box2,other_crops_not_listed,causes_of_weeds_box1,weeds_mitigation_box1,why_unable_to_place_box2,username_box,box_placement_comment,herbicide_applied_box1,box1_cause_of_flood,box1_flood_occurence_date,box2_flood_occurence_date,other_causes_of_weeds_box1,other_causes_of_weeds_box2,latitude_box,longitude_box,altitude_box,accuracy_box,box1_harvest_possible,box2_harvest_possible,enumerator_comment_wet,farmer_verified,box1_wet_weight,box1_wet_weight_confirmation,box2_wet_weight,box2_wet_weight_confirmation,timeEnd_wet,timeStart_wet,cannot_proceed_with_wet_harvest,box_1_non_compliance_confirmation,why_unable_to_capture_box1_weight,box_2_non_compliance_confirmation,why_unable_to_capture_box2_weight,why_no_crop_survived_in_box1,why_no_crop_survived_in_box2,username_wet,wet_harvest_comment,latitude_wet,longitude_wet,altitude_wet,accuracy_wet,did_the_farmer_keep_the_crops_in_separate_bags,enumerator_comment,farmer_verified_dry,box1_dry_weight,box1_dry_weight_confirmation,box2_dry_weight,box2_dry_weight_confirmation,was_anything_added_or_removed_from_the_harvest_bag,timeEnd,timeStart,cannot_proceed_with_dry_harvest,username,dry_harvest_comment,latitude,longitude,altitude,accuracy,box1_area_ha,box2_area_ha,totalbox_area_ha,total_dry_weight,yield_mt_ha,crazy_dimensions,false_zero_yields,dry_exceeds_wet,non_compliant,error_flag
A,More_than_5_KM,successfuly done,2022-05-27,control_farmer,Katsina,no,wheat,no,insufficient watering.,2022-02-10,yes,yes,Danja,average,21.0,yes,8.0,broadcasted,,,poor_germination,,5.0,average,16.0,yes,8.0,broadcasted,,,poor_germination,,5.0,36311aa7-29d1-4650-a230-830bcd565d72,2022-05-27T10:44:39.576000Z,2022-05-27T10:29:47.607000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nig187,successfuly done,,,,,,,11.3679697,7.5679833,696.77,4.25,yes,yes,Done,farmer_verified,7.885,7.885,4.36,4.36,2022-05-27T10:56:24.532000Z,2022-05-27T10:47:36.134000Z,,,,,,,,nig187,Done,11.3680208,7.5680423,712.78,3.9,yes,Done,farmer_verified,5.63,5.63,3.76,3.76,no,2022-05-27T11:09:45.357000Z,2022-05-27T10:56:36.195000Z,,nig187,Done,11.3680589,7.5680794,721.23,8.0,0.004,0.004,0.008,9.39,1.17375,False,False,False,False,False
A,More_than_5_KM,ok,2022-06-08,control_farmer,Zamfara,no,wheat,no,rain,2022-01-15,yes,yes,Gusau,good,56.0,yes,8.0,broadcasted,,,,,5.0,good,53.0,yes,8.0,broadcasted,,,,,5.0,0a9e2724-59e1-48cd-ab48-856dce787fec,2022-05-31T13:01:04.996000Z,2022-05-31T12:51:24.966000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nig040,ok,,,,,,,12.046592,6.640337,65.0,1.0,yes,yes,ok,farmer_verified,2.97,2.97,2.91,2.91,2022-06-01T11:16:02.120000Z,2022-06-01T11:12:19.608000Z,,,,,,,,nig040,ok,12.1475698268635,6.71465344727039,107.0,1.51,yes,ok,farmer_verified,2.69,2.69,2.72,2.72,no,2022-06-01T11:25:45.374000Z,2022-06-01T11:18:01.603000Z,,nig040,ok,12.1475698268635,6.71465344727039,107.0,1.49,0.004,0.004,0.008,5.41,0.67625,False,False,False,False,False
A,More_than_5_KM,ok,2022-06-06,control_farmer,Zamfara,no,wheat,no,soil factor,2022-01-15,yes,yes,Gusau,good,52.0,yes,8.0,broadcasted,,,,,5.0,good,54.0,yes,8.0,broadcasted,,,,,5.0,da9f7363-2415-415e-8cef-d6bb18ed2bc0,2022-05-31T12:50:44.567000Z,2022-05-31T12:43:26.675000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nig040,ok,,,,,,,12.046592,6.640337,65.0,3.9,yes,yes,ok,farmer_verified,2.255,2.255,2.66,2.66,2022-06-01T10:35:35.786000Z,2022-06-01T10:32:28.214000Z,,,,,,,,nig040,ok,12.138753680437,6.68632831424474,107.0,1.21,yes,ok,farmer_verified,2.185,2.185,2.52,2.52,no,2022-06-01T10:41:21.419000Z,2022-06-01T10:36:22.089000Z,,nig040,ok,12.138753680437,6.68632831424474,107.0,1.47,0.004,0.004,0.008,4.705,0.588125,False,False,False,False,False
A,More_than_5_KM,ok,2022-06-16,control_farmer,Zamfara,no,wheat,no,soil factor,2022-01-18,yes,yes,Gusau,good,54.0,yes,8.0,broadcasted,,,,,5.0,good,59.0,yes,8.0,broadcasted,,,,,5.0,9a14fb60-c3a6-4794-9f92-e84953db4b32,2022-05-31T12:13:11.515000Z,2022-05-31T11:58:50.542000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nig040,ok,,,,,,,12.051899,6.640011,65.0,1.0,yes,yes,ok,farmer_verified,3.255,3.255,3.275,3.275,2022-06-01T09:46:21.870000Z,2022-06-01T09:42:05.102000Z,,,,,,,,nig040,ok,12.138753680437,6.68632831424474,107.0,1.29,yes,ok,farmer_verified,3.155,3.155,3.135,3.135,no,2022-06-01T09:51:49.265000Z,2022-06-01T09:46:32.212000Z,,nig040,ok,12.138753680437,6.68632831424474,107.0,1.48,0.004,0.004,0.008,6.289999999999999,0.7862499999999998,False,False,False,False,False
A,More_than_5_KM,ok,2022-06-13,control_farmer,Zamfara,no,wheat,no,rain,2022-01-12,yes,yes,Gusau,good,59.0,yes,8.0,broadcasted,,,,,5.0,good,54.0,yes,8.0,broadcasted,,,,,5.0,2fe51289-da17-4214-a7fd-ee7e064dfed3,2022-05-31T11:48:31.925000Z,2022-05-31T11:40:07.855000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nig040,ok,,,,,,,12.053537,6.639792,65.0,1.0,yes,yes,ok,farmer_verified,2.51,2.51,2.69,2.69,2022-06-03T10:22:19.161000Z,2022-06-03T10:18:04.947000Z,,,,,,,,nig040,ok,12.1622888660957,6.66042052209377,107.0,1.5,yes,ok,farmer_verified,2.345,2.345,2.33,2.33,no,2022-06-03T10:33:21.682000Z,2022-06-03T10:29:05.155000Z,,nig040,ok,12.1622888660957,6.66042052209377,107.0,1.38,0.004,0.004,0.008,4.675000000000001,0.584375,False,False,False,False,False
A,More_than_5_KM,ok,2022-06-11,control_farmer,Zamfara,no,wheat,no,soil factor,2022-01-10,yes,yes,Gusau,good,57.0,yes,8.0,broadcasted,,,,,5.0,good,54.0,yes,8.0,broadcasted,,,,,5.0,7fcf91d7-41b2-4d83-b1b8-701ddc2596f7,2022-05-31T11:23:48.988000Z,2022-05-31T11:20:14.913000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nig040,ok,,,,,,,12.053537,6.639792,65.0,1.0,yes,yes,ok,farmer_verified,2.785,2.785,2.485,2.485,2022-06-03T09:15:13.913000Z,2022-06-03T09:11:21.952000Z,,,,,,,,nig040,ok,12.1622888660957,6.66042052209377,107.0,1.66,yes,ok,farmer_verified,2.615,2.615,2.305,2.305,no,2022-06-03T09:23:52.344000Z,2022-06-03T09:19:44.258000Z,,nig040,ok,12.1622888660957,6.66042052209377,107.0,1.68,0.004,0.004,0.008,4.92,0.615,False,False,False,False,False
A,More_than_5_KM,ok,2022-06-12,control_farmer,Zamfara,no,wheat,no,soil factor,2022-01-06,yes,yes,Gusau,good,58.0,yes,8.0,broadcasted,,,,,5.0,good,54.0,yes,8.0,broadcasted,,,,,5.0,cbe47c01-fbdf-46ba-afb9-9086d458002a,2022-05-31T11:09:21.844000Z,2022-05-31T11:05:40.987000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nig040,ok,,,,,,,12.053537,6.639792,65.0,1.0,yes,yes,ok,farmer_verified,3.25,3.25,3.355,3.355,2022-06-03T11:19:17.516000Z,2022-06-03T11:14:20.771000Z,,,,,,,,nig040,ok,12.1622888660957,6.66042052209377,107.0,1.5,yes,ok,farmer_verified,3.17,3.17,3.245,3.245,no,2022-06-03T11:32:16.056000Z,2022-06-03T11:22:39.284000Z,,nig040,ok,12.1622888660957,6.66042052209377,107.0,1.32,0.004,0.004,0.008,6.415,0.8018749999999999,False,False,False,False,False
A,More_than_5_KM,ok,2022-06-09,control_farmer,Zamfara,no,wheat,no,rain,2022-01-09,yes,yes,Gusau,good,52.0,yes,8.0,broadcasted,,,,,5.0,good,55.0,yes,8.0,broadcasted,,,,,5.0,39bcb5f4-2a1c-4b2a-95d9-60613e4fedb3,2022-05-31T10:34:49.075000Z,2022-05-31T10:30:31.775000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nig040,ok,,,,,,,12.053537,6.639792,65.0,1.0,yes,yes,ok,farmer_verified,3.555,3.555,3.35,3.35,2022-06-01T11:33:44.837000Z,2022-06-01T11:27:59.979000Z,,,,,,,,nig040,ok,12.1475698268635,6.71465344727039,107.0,1.66,yes,ok,farmer_verified,3.225,3.225,3.115,3.115,no,2022-06-01T11:38:15.179000Z,2022-06-01T11:34:10.321000Z,,nig040,ok,12.1475698268635,6.71465344727039,107.0,1.69,0.004,0.004,0.008,6.34,0.7925,False,False,False,False,False
A,More_than_5_KM,ok,2022-06-10,control_farmer,Zamfara,no,wheat,no,rain,2022-01-09,yes,yes,Gusau,good,58.0,yes,8.0,broadcasted,,,,,5.0,good,54.0,yes,8.0,broadcasted,,,,,5.0,c7c245f8-9141-49cb-ac0d-4870c3394cbd,2022-05-31T10:30:24.006000Z,2022-05-31T10:22:00.121000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nig040,ok,,,,,,,12.053537,6.639792,65.0,1.0,yes,yes,ok,farmer_verified,2.54,2.54,2.645,2.645,2022-06-03T11:08:20.088000Z,2022-06-03T11:04:18.795000Z,,,,,,,,nig040,ok,12.1622888660957,6.66042052209377,107.0,1.42,yes,ok,farmer_verified,2.445,2.445,2.485,2.485,no,2022-06-03T11:12:25.391000Z,2022-06-03T11:08:28.629000Z,,nig040,ok,12.1622888660957,6.66042052209377,107.0,1.21,0.004,0.004,0.008,4.93,0.61625,False,False,False,False,False
A,More_than_5_KM,ok,2022-06-21,control_farmer,Zamfara,no,wheat,no,soil factor,2022-01-11,yes,yes,Gusau,good,54.0,yes,8.0,broadcasted,,,,,5.0,good,58.0,yes,8.0,broadcasted,,,,,5.0,c57de427-d3ab-456a-9935-43b2d3c63417,2022-05-31T09:50:18.821000Z,2022-05-31T09:45:51.219000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nig040,ok,,,,,,,12.052841,6.638864,65.0,1.0,yes,yes,ok,farmer_verified,3.26,3.26,3.395,3.395,2022-06-03T09:42:20.879000Z,2022-06-03T09:37:42.996000Z,,,,,,,,nig040,ok,12.1622888660957,6.66042052209377,107.0,1.31,yes,ok,farmer_verified,3.115,3.115,3.125,3.125,no,2022-06-03T09:55:48.881000Z,2022-06-03T09:45:25.440000Z,,nig040,ok,12.1622888660957,6.66042052209377,107.0,1.65,0.004,0.004,0.008,6.24,0.7799999999999999,False,False,False,False,False
